,gestational_week,bmi,y_concentration,y_zscore,maternal_age,maternal_height_cm,maternal_weight_kg,bmi_recalc,ivf_flag,L,M,N,O,P,X,Y,Z,AA,draw_index
gestational_week,1.0,0.1479773149050611,0.11559171616874828,0.11479267118656192,0.005213683275491659,0.027149396386391154,0.13181588871219743,0.1477477859076519,0.018137907548090776,-0.0434454400309136,-0.057109026257374636,0.053924489185705964,-0.06335504461267057,-0.060067245983321686,-0.05898194993390105,-0.04117383427524211,-0.08036349505900943,0.053032187284707204,0.7675430771800636
bmi,0.1479773149050611,1.0,-0.15275646732568005,0.057550466839207635,0.003943247228546294,0.10835696525481459,0.8402095059550766,0.9999969272232148,-0.07814454550007507,-0.056287139060657417,0.008883122269302289,0.0021401306122845153,-0.07283263337163977,-0.009422731308070025,-0.0019544880765880886,-0.030085898944548477,-0.047130505850680175,0.00020919565968211264,0.1384141247833497
y_concentration,0.11559171616874828,-0.15275646732568005,1.0,0.062496590213549794,-0.10402238043013598,-0.10872533371565528,-0.18209597142392459,-0.15265368906600368,-0.013953436721115625,-0.10590092856964034,-0.11108201916234589,0.10171716774723716,-0.09098094772682307,-0.03149783967901085,-0.05108275162284688,-0.05635546254671633,-0.0204851605154205,0.059213153169520104,0.33740844022043465
y_zscore,0.11479267118656192,0.057550466839207635,0.062496590213549794,1.0,-0.049703850378328605,-0.023883211296523838,0.030187567024472204,0.05754170195224423,-0.04929654279915605,-0.06693547107612918,-0.038613057208997104,-0.0008252898354574168,-0.06709359756909272,-0.2943448499275707,-0.267651257451213,-0.27990063270115234,-0.28585114958655694,0.024098688933550272,0.06309673767572471
maternal_age,0.005213683275491659,0.003943247228546294,-0.10402238043013598,-0.049703850378328605,1.0,0.04963676118075206,0.03350831663540811,0.0038641515381410657,0.13908594161428373,-0.017306149801884437,0.01774344605741688,0.04855930971689217,-0.012263900323974392,0.04019755654095148,0.04564747179076765,0.06655397532325424,0.058471096661958516,0.021576019333589373,-0.009144622277451525
maternal_height_cm,0.027149396386391154,0.10835696525481459,-0.10872533371565528,-0.023883211296523838,0.04963676118075206,1.0,0.6274225465784508,0.10832060717255866,0.02587583884248097,0.011806483173212475,0.016783718085718873,-0.03325055130622219,0.010542144929837698,-0.0034934785083357636,0.016845420132999132,0.007076221692935726,0.043856743038499256,0.02580343796949825,-0.011781191393077317
maternal_weight_kg,0.13181588871219743,0.8402095059550766,-0.18209597142392459,0.030187567024472204,0.03350831663540811,0.6274225465784508,1.0,0.8401871106783184,-0.047334140999982684,-0.03791955175326631,0.014574372757086337,-0.019397288523169832,-0.05046131517921564,-0.008473163983245097,0.008071696676407659,-0.018391039693831917,-0.011960989649644429,0.014413372500307893,0.10149946057009485
bmi_recalc,0.1477477859076519,0.9999969272232148,-0.15265368906600368,0.05754170195224423,0.0038641515381410657,0.10832060717255866,0.8401871106783184,1.0,-0.07816097605220847,-0.056149659375544975,0.008725638275752932,0.0020781778611767172,-0.07290735974420828,-0.009345040179115121,-0.0018683340173024114,-0.030115718222839826,-0.046901448680660485,0.00021910506877862614,0.13838273675129853
ivf_flag,0.018137907548090776,-0.07814454550007507,-0.013953436721115625,-0.04929654279915605,0.13908594161428373,0.02587583884248097,-0.047334140999982684,-0.07816097605220847,1.0,0.017070748819693334,0.01898515001873261,-0.02747173046879328,0.059388011618507805,0.02361204212128846,0.04763882911119348,0.03772142557976582,0.051817935474104806,0.0021210939434581654,0.011241305180820452
L,-0.0434454400309136,-0.056287139060657417,-0.10590092856964034,-0.06693547107612918,-0.017306149801884437,0.011806483173212475,-0.03791955175326631,-0.056149659375544975,0.017070748819693334,1.0,0.03543863343091646,-0.012480055364891322,0.5949316305502964,0.043182709038267014,0.008432439929419536,-0.007950889795145858,0.006468297457906562,0.20224385264544723,-0.050007222957724216
M,-0.057109026257374636,0.008883122269302289,-0.11108201916234589,-0.038613057208997104,0.01774344605741688,0.016783718085718873,0.014574372757086337,0.008725638275752932,0.01898515001873261,0.03543863343091646,1.0,-0.14278652216110563,0.08702605181617222,-0.01906102030030729,-0.0283354582464645,0.02243241787519065,-0.0025105044404281998,-0.17517901442866202,-0.07104325948895159
N,0.053924489185705964,0.0021401306122845153,0.10171716774723716,-0.0008252898354574168,0.04855930971689217,-0.03325055130622219,-0.019397288523169832,0.0020781778611767172,-0.02747173046879328,-0.012480055364891322,-0.14278652216110563,1.0,0.009923698672923382,0.003314950133959963,0.012466522988864262,-0.05650831864094365,0.03447304607986472,-0.0789733443851398,0.03830255980672335
O,-0.06335504461267057,-0.07283263337163977,-0.09098094772682307,-0.06709359756909272,-0.012263900323974392,0.010542144929837698,-0.05046131517921564,-0.07290735974420828,0.059388011618507805,0.5949316305502964,0.08702605181617222,0.009923698672923382,1.0,-0.002188912187900273,0.039263193073792536,0.0005016078559634889,0.015748900864428067,0.13711271654073187,-0.06887500126294863
P,-0.060067245983321686,-0.009422731308070025,-0.03149783967901085,-0.2943448499275707,0.04019755654095148,-0.0034934785083357636,-0.008473163983245097,-0.009345040179115121,0.02361204212128846,0.043182709038267014,-0.01906102030030729,0.003314950133959963,-0.002188912187900273,1.0,0.5933365610751039,0.5272150988238723,0.5484394870895947,-0.021597184752963246,-0.06895280788679634
X,-0.05898194993390105,-0.0019544880765880886,-0.05108275162284688,-0.267651257451213,0.04564747179076765,0.016845420132999132,0.008071696676407659,-0.0018683340173024114,0.04763882911119348,0.008432439929419536,-0.0283354582464645,0.012466522988864262,0.039263193073792536,0.5933365610751039,1.0,0.5809185885843682,0.5315990092224763,-0.01940327802771205,-0.05301280828082154
Y,-0.04117383427524211,-0.030085898944548477,-0.05635546254671633,-0.27990063270115234,0.06655397532325424,0.007076221692935726,-0.018391039693831917,-0.030115718222839826,0.03772142557976582,-0.007950889795145858,0.02243241787519065,-0.05650831864094365,0.0005016078559634889,0.5272150988238723,0.5809185885843682,1.0,0.5081872927717612,-0.059713159096122854,-0.07534905434385472
Z,-0.08036349505900943,-0.047130505850680175,-0.0204851605154205,-0.28585114958655694,0.058471096661958516,0.043856743038499256,-0.011960989649644429,-0.046901448680660485,0.051817935474104806,0.006468297457906562,-0.0025105044404281998,0.03447304607986472,0.015748900864428067,0.5484394870895947,0.5315990092224763,0.5081872927717612,1.0,-0.05738070448100348,-0.06396121126086189
